company,role,location,education,years_of_experience,base_salary,annual_bonus,annual_stock,total_compensation,company_tier,remote_work
Salesforce,Principal Engineer,"Denver, CO",Master's,0,335649,16266,45799,397714,Tier2,0
Databricks,Senior Product Manager,"Boston, MA",Bachelor's,0,244573,47106,19800,311479,Tier2,0
SAP,Staff Engineer,"Los Angeles, CA",Self-taught,3,281487,37228,0,318715,Tier3,0
IBM,Senior Software Engineer,"Atlanta, GA",Bachelor's,0,141351,12337,0,153688,Tier3,0
SAP,Staff Engineer,"San Francisco, CA",Bachelor's,5,353814,32976,0,386790,Tier3,0
ServiceNow,Senior Product Manager,"Seattle, WA",Bachelor's,13,285739,45643,0,331382,Tier3,0
Uber,Engineering Manager,"Seattle, WA",Master's,4,408728,27740,26357,462825,Tier2,0
Stripe,Staff Engineer,"San Francisco, CA",Master's,7,396734,80938,41660,519332,Tier2,1
Databricks,Senior Software Engineer,"San Francisco, CA",Bachelor's,1,321812,49745,27639,399196,Tier2,1
Google,Engineering Manager,"Atlanta, GA",Bachelor's,1,315997,38452,8329,362778,FAANG,0
Salesforce,Software Engineer,"Austin, TX",Master's,5,191043,15684,14034,220761,Tier2,1
Meta,Senior Product Manager,"Chicago, IL",Bachelor's,3,303677,29015,18941,351633,FAANG,0
Salesforce,Software Engineer,"San Francisco, CA",Bachelor's,2,233339,23271,6351,262961,Tier2,0
Databricks,ML Engineer,"Boston, MA",Bachelor's,4,236040,20458,17761,274259,Tier2,1
Amazon,Software Engineer,Remote,Bachelor's,0,189910,16930,8910,215750,FAANG,0
Databricks,Senior Product Manager,"Boston, MA",Bachelor's,5,289724,26313,40335,356372,Tier2,1
Microsoft,Data Scientist,"San Francisco, CA",Bachelor's,3,271013,25499,19355,315867,Tier2,0
Salesforce,Principal Engineer,"Chicago, IL",Master's,2,364957,21210,47830,433997,Tier2,1
Airbnb,Staff Engineer,"Los Angeles, CA",Master's,8,415251,20824,34582,470657,Tier2,0
Intuit,Staff Engineer,"Austin, TX",Bootcamp,7,260671,39431,0,300102,Tier3,0
Amazon,Product Manager,"Seattle, WA",Bachelor's,3,325863,56136,27673,409672,FAANG,0
Early Stage Startup,Principal Engineer,"Denver, CO",Master's,9,295238,24290,0,319528,Startup,0
IBM,Data Scientist,"Boston, MA",Bachelor's,11,240270,32560,0,272830,Tier3,0
Google,Engineering Manager,"New York, NY",Master's,7,444477,70695,57271,572443,FAANG,0
Amazon,Software Engineer,"Austin, TX",Bachelor's,2,201869,24879,21611,248359,FAANG,1
Amazon,ML Engineer,"Denver, CO",Bachelor's,5,232897,24458,12253,269608,FAANG,0
Amazon,Senior Software Engineer,"Chicago, IL",Master's,0,290501,18924,5687,315112,FAANG,0
IBM,Staff Engineer,"Los Angeles, CA",Bachelor's,4,326009,29068,0,355077,Tier3,0
Workday,Principal Engineer,"Atlanta, GA",PhD,2,274102,38030,0,312132,Tier3,0
Netflix,Senior Data Scientist,"Austin, TX",Bootcamp,1,287241,19758,10352,317351,FAANG,0
Netflix,Senior Product Manager,Remote,Bachelor's,2,292151,17757,22396,332304,FAANG,0
Oracle,Engineering Manager,"San Francisco, CA",Self-taught,6,437611,57078,0,494689,Tier3,0
Intuit,Staff Engineer,Remote,Bachelor's,2,252789,28089,0,280878,Tier3,0
Netflix,Senior Data Scientist,"Atlanta, GA",Master's,5,271234,36099,25392,332725,FAANG,0
Intuit,Senior Data Scientist,"Seattle, WA",Bachelor's,4,266371,36403,0,302774,Tier3,1
Google,Staff Engineer,Remote,Master's,8,451450,32272,41621,525343,FAANG,0
Series A Startup,Senior Software Engineer,"New York, NY",Bachelor's,5,234014,20175,0,254189,Startup,0
Salesforce,Principal Engineer,"Atlanta, GA",Master's,4,337828,33764,47302,418894,Tier2,1
Workday,Staff Engineer,"Austin, TX",Bachelor's,7,233911,29162,0,263073,Tier3,1
Lyft,Software Engineer,"San Francisco, CA",Master's,8,288756,16816,17872,323444,Tier2,1
Databricks,Product Manager,"Los Angeles, CA",Self-taught,5,208871,15560,2419,226850,Tier2,0
Early Stage Startup,Senior Data Scientist,"Chicago, IL",Bachelor's,13,234541,48241,0,282782,Startup,1
SAP,Product Manager,"Atlanta, GA",Bootcamp,10,188814,26022,0,214836,Tier3,0
Meta,Engineering Manager,Remote,Bachelor's,4,384723,76542,47881,509146,FAANG,0
Apple,Data Scientist,"New York, NY",PhD,4,334609,41340,12599,388548,FAANG,0
Uber,Product Manager,"Los Angeles, CA",Master's,4,239146,37656,24696,301498,Tier2,0
Microsoft,Senior Product Manager,Remote,Bachelor's,12,289632,16501,34266,340399,Tier2,0
Google,Engineering Manager,"Boston, MA",Master's,11,492001,80670,14760,587431,FAANG,0
Apple,Senior Product Manager,"Denver, CO",Bachelor's,4,242597,41170,32971,316738,FAANG,0
ServiceNow,Engineering Manager,"Los Angeles, CA",Bachelor's,7,360262,39910,0,400172,Tier3,1
Workday,Software Engineer,"Seattle, WA",Bachelor's,0,173923,9349,0,183272,Tier3,0
Netflix,Data Scientist,"New York, NY",Master's,7,318113,40898,41423,400434,FAANG,0
Series A Startup,Principal Engineer,"San Francisco, CA",Master's,4,370444,53294,0,423738,Startup,0
Amazon,Senior Software Engineer,"San Francisco, CA",Master's,4,402887,24002,20089,446978,FAANG,1
Series A Startup,Senior Data Scientist,"Boston, MA",Master's,19,297415,47185,0,344600,Startup,0
Meta,Principal Engineer,"Chicago, IL",Master's,7,540792,109225,48242,698259,FAANG,0
Workday,Senior Product Manager,"San Francisco, CA",Bachelor's,3,285508,30069,0,315577,Tier3,1
Intuit,Staff Engineer,"Chicago, IL",Bachelor's,4,261102,17655,0,278757,Tier3,1
Amazon,Staff Engineer,"Seattle, WA",Master's,1,434186,29783,35934,499903,FAANG,0
IBM,Senior Software Engineer,"San Francisco, CA",Master's,5,333170,20060,0,353230,Tier3,0
Stripe,Software Engineer,"Atlanta, GA",Bootcamp,0,130248,25728,13042,169018,Tier2,0
IBM,ML Engineer,"Seattle, WA",Master's,0,226332,35527,0,261859,Tier3,0
SAP,Senior Software Engineer,"Atlanta, GA",Bachelor's,2,159357,11421,0,170778,Tier3,0
Workday,Senior Data Scientist,"Boston, MA",Bachelor's,0,204763,35343,0,240106,Tier3,1
Oracle,Senior Software Engineer,"Austin, TX",Master's,4,182339,15597,0,197936,Tier3,0
Microsoft,Principal Engineer,"Atlanta, GA",Master's,1,262906,12198,37096,312200,Tier2,0
Stripe,ML Engineer,"Los Angeles, CA",Bootcamp,0,187772,40025,5300,233097,Tier2,0
Workday,ML Engineer,"Boston, MA",Master's,13,313757,35877,0,349634,Tier3,1
Microsoft,Senior Product Manager,"Boston, MA",Master's,1,276554,45766,42081,364401,Tier2,1
Oracle,Staff Engineer,"San Francisco, CA",Bachelor's,3,312833,32692,0,345525,Tier3,1
Series B Startup,Software Engineer,Remote,Bachelor's,0,115483,16670,0,132153,Startup,0
